D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Rumjulep	Rumjulep	Death & Co	Lemon Hart 151 Rum	.75	oz
D&C Rumjulep	Rumjulep	Death & Co	Lemon Hart Original Rum	.75	oz
D&C Rumjulep	Rumjulep	Death & Co	Appleton Estate V/X Rum	.5	oz
D&C Rumjulep	Rumjulep	Death & Co	John D. Taylor’s Velvet Falernum Liqueur	.25	oz
D&C Rumjulep	Rumjulep	Death & Co	Donn’s Spices #2	.25	oz
D&C Rumjulep	Rumjulep	Death & Co	Orange	.5	oz
D&C Rumjulep	Rumjulep	Death & Co	Lime	.5	oz
D&C Rumjulep	Rumjulep	Death & Co	Acacia Honey Syrup	.5	oz
D&C Rumjulep	Rumjulep	Death & Co	Mint	1	bouquet
D&C Rusty Nail	Rusty Nail	Death & Co	Springbank 10-Year Scotch Whisky	2	oz
D&C Rusty Nail	Rusty Nail	Death & Co	Drambuie Liqueur	.75	oz
D&C Rusty Nail	Rusty Nail	Death & Co	Bitter Truth Aromatic Bitters	1	dash
D&C Rusty Nail	Rusty Nail	Death & Co	Lemon	1	twist
D&C Sazerac	Sazerac	Death & Co	Vieux Pontarlier Absinthe	1	rinse
D&C Sazerac	Sazerac	Death & Co	Rittenhouse Bonded Rye Whiskey	1.5	oz
D&C Sazerac	Sazerac	Death & Co	Pierre Ferrand 1840 Cognac	.5	oz
D&C Sazerac	Sazerac	Death & Co	Demerara Syrup	1	tsp
D&C Sazerac	Sazerac	Death & Co	Peychaud’s Bitters	4	dash
D&C Sazerac	Sazerac	Death & Co	Angostura Bitters	1	dash
D&C Sazerac	Sazerac	Death & Co	Lemon	1	twist
D&C Scofflaw	Scofflaw	Death & Co	Templeton Rye Whiskey 1.5	oz
D&C Scofflaw	Scofflaw	Death & Co	Dolin Blanc Vermouth	.5	oz
D&C Scofflaw	Scofflaw	Death & Co	Dolin Dry Vermouth	.5	oz
D&C Scofflaw	Scofflaw	Death & Co	Lemon	.5	oz
D&C Scofflaw	Scofflaw	Death & Co	Grenadine	.5	oz
D&C Sidecar	Sidecar	Death & Co	Pierre Ferrand 1840 Cognac	2	oz
D&C Sidecar	Sidecar	Death & Co	Cointreau Liqueur	.5	oz
D&C Sidecar	Sidecar	Death & Co	Lemon	.75	oz
